y,x,clickSelects,PANEL,group,xmin,xmax,ymin,ymax
0.0289219982471516,0.0454545454545455,School: Texas  Group: 1  Total.Revenue: 163295115  Total.Expenses: 138269710  Total.Subsidy: 0  Revenue.Less.Expenses: 25025405  Rank: 1,1,7,0.0454545454545455,0.0454545454545455,0.0269500438212095,0.0308939526730938
0.0113935144609991,0.0454545454545455,School: Ohio State  Group: 1  Total.Revenue: 142043057  Total.Expenses: 124419412  Total.Subsidy: 0  Revenue.Less.Expenses: 17623645  Rank: 2,1,3,0.0454545454545455,0.0454545454545455,0.00942156003505697,0.0133654688869413
0.0333041191936897,0.0526745660332147,School: Michigan  Group: 1  Total.Revenue: 140131187  Total.Expenses: 115200187  Total.Subsidy: 258885  Revenue.Less.Expenses: 24931000  Rank: 3,1,8,0.0454545454545455,0.0526745660332147,0.0313321647677476,0.0352760736196319
0.230499561787905,0.197761463137024,School: Alabama  Group: 1  Total.Revenue: 124899945  Total.Expenses: 108204867  Total.Subsidy: 5461200  Revenue.Less.Expenses: 16695078  Rank: 4,1,53,0.0454545454545455,0.197761463137024,0.228527607361963,0.232471516213848
0.164767747589834,0.166951384553325,School: Florida  Group: 1  Total.Revenue: 120772106  Total.Expenses: 105102198  Total.Subsidy: 4356457  Revenue.Less.Expenses: 15669908  Rank: 5,1,38,0.0454545454545455,0.166951384553325,0.162795793163891,0.166739702015776
0.204206836108677,0.190476879730691,School: Texas A&M  Group: 1  Total.Revenue: 119702222  Total.Expenses: 81792118  Total.Subsidy: 5200000  Revenue.Less.Expenses: 37910104  Rank: 6,1,47,0.0454545454545455,0.190476879730691,0.202234881682734,0.206178790534619
0.00262927256792287,0.0454545454545455,School: LSU  Group: 1  Total.Revenue: 114787786  Total.Expenses: 101989116  Total.Subsidy: 0  Revenue.Less.Expenses: 12798670  Rank: 7,1,1,0.0454545454545455,0.0454545454545455,0.000657318141980719,0.00460122699386503
0.0201577563540754,0.0454545454545455,School: Penn State  Group: 1  Total.Revenue: 108252281  Total.Expenses: 107389258  Total.Subsidy: 0  Revenue.Less.Expenses: 863023  Rank: 8,1,5,0.0454545454545455,0.0454545454545455,0.0181858019281332,0.0221297107800175
0.0157756354075373,0.0454545454545455,School: Oklahoma  Group: 1  Total.Revenue: 106456616  Total.Expenses: 96250328  Total.Subsidy: 0  Revenue.Less.Expenses: 10206288  Rank: 9,1,4,0.0454545454545455,0.0454545454545455,0.0138036809815951,0.0177475898334794
0.156003505696757,0.163051148317521,School: Auburn  Group: 1  Total.Revenue: 105951251  Total.Expenses: 96315831  Total.Subsidy: 4216608  Revenue.Less.Expenses: 9635420  Rank: 10,1,36,0.0454545454545455,0.163051148317521,0.154031551270815,0.157975460122699
0.322524101665206,0.244231443820607,School: Wisconsin  Group: 1  Total.Revenue: 103803040  Total.Expenses: 102275206  Total.Subsidy: 7127453  Revenue.Less.Expenses: 1527834  Rank: 11,1,74,0.0454545454545455,0.244231443820607,0.320552147239264,0.324496056091148
0.0464504820333041,0.0733434558922658,School: Tennessee  Group: 1  Total.Revenue: 102884286  Total.Expenses: 101292015  Total.Subsidy: 1e+06  Revenue.Less.Expenses: 1592271  Rank: 12,1,11,0.0454545454545455,0.0733434558922658,0.044478527607362,0.0484224364592463
0.379491673970202,0.262398503191021,School: Florida State  Group: 1  Total.Revenue: 100049444  Total.Expenses: 90278878  Total.Subsidy: 7778861  Revenue.Less.Expenses: 9770566  Rank: 13,1,87,0.0454545454545455,0.262398503191021,0.377519719544259,0.381463628396144
0.0595968448729185,0.0998150519015412,School: Arkansas  Group: 1  Total.Revenue: 99757482  Total.Expenses: 82470473  Total.Subsidy: 1949180  Revenue.Less.Expenses: 17287009  Rank: 14,1,14,0.0454545454545455,0.0998150519015412,0.0576248904469763,0.0615687992988606
0.0376862401402279,0.0606142320568189,School: Iowa  Group: 1  Total.Revenue: 97902974  Total.Expenses: 104658746  Total.Subsidy: 543574  Revenue.Less.Expenses: -6755772  Rank: 15,1,9,0.0454545454545455,0.0606142320568189,0.0357142857142857,0.03965819456617
0.0815074496056091,0.11450358325088,School: Oregon  Group: 1  Total.Revenue: 94635829  Total.Expenses: 89709350  Total.Subsidy: 2475860  Revenue.Less.Expenses: 4926479  Rank: 16,1,19,0.0454545454545455,0.11450358325088,0.079535495179667,0.0834794040315513
0.151621384750219,0.162775661660217,School: Michigan State  Group: 1  Total.Revenue: 93946707  Total.Expenses: 88100432  Total.Subsidy: 4206730  Revenue.Less.Expenses: 5846275  Rank: 17,1,35,0.0454545454545455,0.162775661660217,0.149649430324277,0.153593339176161
0.116564417177914,0.135920927799348,School: Georgia  Group: 1  Total.Revenue: 91670613  Total.Expenses: 88923561  Total.Subsidy: 3243812  Revenue.Less.Expenses: 2747052  Rank: 18,1,27,0.0454545454545455,0.135920927799348,0.114592462751972,0.118536371603856
