size,fill,x,y,clickSelects,PANEL,group
6,#F8766D,0.0454545454545455,0.738317365633314,School: Texas  Group: 1  Total.Revenue: 163295115  Total.Expenses: 138269710  Total.Subsidy: 0  Revenue.Less.Expenses: 25025405  Rank: 1,1,194
5.34,#F8766D,0.0454545454545455,0.614102712315737,School: Ohio State  Group: 1  Total.Revenue: 142043057  Total.Expenses: 124419412  Total.Subsidy: 0  Revenue.Less.Expenses: 17623645  Rank: 2,1,151
5.28,#F8766D,0.0526745660332147,0.736733082388998,School: Michigan  Group: 1  Total.Revenue: 140131187  Total.Expenses: 115200187  Total.Subsidy: 258885  Revenue.Less.Expenses: 24931000  Rank: 3,1,107
4.8,#F8766D,0.197761463137024,0.598519712058077,School: Alabama  Group: 1  Total.Revenue: 124899945  Total.Expenses: 108204867  Total.Subsidy: 5461200  Revenue.Less.Expenses: 16695078  Rank: 4,1,3
4.67,#F8766D,0.166951384553325,0.581315542219879,School: Florida  Group: 1  Total.Revenue: 120772106  Total.Expenses: 105102198  Total.Subsidy: 4356457  Revenue.Less.Expenses: 15669908  Rank: 5,1,56
4.64,#F8766D,0.190476879730691,0.954545454545455,School: Texas A&M  Group: 1  Total.Revenue: 119702222  Total.Expenses: 81792118  Total.Subsidy: 5200000  Revenue.Less.Expenses: 37910104  Rank: 6,1,196
4.49,#F8766D,0.0454545454545455,0.533131078962187,School: LSU  Group: 1  Total.Revenue: 114787786  Total.Expenses: 101989116  Total.Subsidy: 0  Revenue.Less.Expenses: 12798670  Rank: 7,1,97
4.28,#F8766D,0.0454545454545455,0.332829764919855,School: Penn State  Group: 1  Total.Revenue: 108252281  Total.Expenses: 107389258  Total.Subsidy: 0  Revenue.Less.Expenses: 863023  Rank: 8,1,157
4.23,#F8766D,0.0454545454545455,0.489626313690586,School: Oklahoma  Group: 1  Total.Revenue: 106456616  Total.Expenses: 96250328  Total.Subsidy: 0  Revenue.Less.Expenses: 10206288  Rank: 9,1,152
4.21,#F8766D,0.163051148317521,0.480046136717799,School: Auburn  Group: 1  Total.Revenue: 105951251  Total.Expenses: 96315831  Total.Subsidy: 4216608  Revenue.Less.Expenses: 9635420  Rank: 10,1,17
4.14,#F8766D,0.244231443820607,0.343986471958007,School: Wisconsin  Group: 1  Total.Revenue: 103803040  Total.Expenses: 102275206  Total.Subsidy: 7127453  Revenue.Less.Expenses: 1527834  Rank: 11,1,225
4.11,#F8766D,0.0733434558922658,0.345067839040407,School: Tennessee  Group: 1  Total.Revenue: 102884286  Total.Expenses: 101292015  Total.Subsidy: 1e+06  Revenue.Less.Expenses: 1592271  Rank: 12,1,187
4.03,#F8766D,0.262398503191021,0.48231412616048,School: Florida State  Group: 1  Total.Revenue: 100049444  Total.Expenses: 90278878  Total.Subsidy: 7778861  Revenue.Less.Expenses: 9770566  Rank: 13,1,61
4.02,#F8766D,0.0998150519015412,0.608453363507587,School: Arkansas  Group: 1  Total.Revenue: 99757482  Total.Expenses: 82470473  Total.Subsidy: 1949180  Revenue.Less.Expenses: 17287009  Rank: 14,1,14
3.96,#F8766D,0.0606142320568189,0.20497287958141,School: Iowa  Group: 1  Total.Revenue: 97902974  Total.Expenses: 104658746  Total.Subsidy: 543574  Revenue.Less.Expenses: -6755772  Rank: 15,1,80
3.86,#F8766D,0.11450358325088,0.401021759568591,School: Oregon  Group: 1  Total.Revenue: 94635829  Total.Expenses: 89709350  Total.Subsidy: 2475860  Revenue.Less.Expenses: 4926479  Rank: 16,1,155
3.84,#F8766D,0.162775661660217,0.41645756689859,School: Michigan State  Group: 1  Total.Revenue: 93946707  Total.Expenses: 88100432  Total.Subsidy: 4206730  Revenue.Less.Expenses: 5846275  Rank: 17,1,108
3.76,#F8766D,0.135920927799348,0.364447111209827,School: Georgia  Group: 1  Total.Revenue: 91670613  Total.Expenses: 88923561  Total.Subsidy: 3243812  Revenue.Less.Expenses: 2747052  Rank: 18,1,64
3.66,#00BFC4,0.0685234712791355,0.376136975164158,School: Kentucky  Group: 3  Total.Revenue: 88373452  Total.Expenses: 84929819  Total.Subsidy: 827172  Revenue.Less.Expenses: 3443633  Rank: 19,1,89
3.64,#00BFC4,0.34649260416773,0.380551839996512,School: Louisville  Group: 3  Total.Revenue: 87840501  Total.Expenses: 84133793  Total.Subsidy: 10794185  Revenue.Less.Expenses: 3706708  Rank: 20,1,96
3.64,#00BFC4,0.110666292285933,0.362739784008652,School: South Carolina  Group: 3  Total.Revenue: 87608352  Total.Expenses: 84963037  Total.Subsidy: 2338268  Revenue.Less.Expenses: 2645315  Rank: 21,1,170
3.63,#F8766D,0.220727618326651,0.158718135575672,School: Oklahoma State  Group: 1  Total.Revenue: 87270598  Total.Expenses: 96782619  Total.Subsidy: 6284687  Revenue.Less.Expenses: -9512021  Rank: 22,1,153
3.51,#00BFC4,0.239591091679606,0.318346709166886,School: Minnesota  Group: 3  Total.Revenue: 83619526  Total.Expenses: 83619526  Total.Subsidy: 6961066  Revenue.Less.Expenses: 0  Rank: 23,1,110
3.48,#00BFC4,0.130948000401377,0.465374168550432,School: Washington  Group: 3  Total.Revenue: 82594783  Total.Expenses: 73833643  Total.Subsidy: 3065500  Revenue.Less.Expenses: 8761140  Rank: 24,1,212
3.48,#00BFC4,0.299022806044955,0.326782016829675,School: North Carolina  Group: 3  Total.Revenue: 82424430  Total.Expenses: 81921783  Total.Subsidy: 9092082  Revenue.Less.Expenses: 502647  Rank: 25,1,132
3.45,#00BFC4,0.0454545454545455,0.395441669136049,School: Nebraska  Group: 3  Total.Revenue: 81631252  Total.Expenses: 77037282  Total.Subsidy: 0  Revenue.Less.Expenses: 4593970  Rank: 26,1,122
3.43,#00BFC4,0.411667426081698,0.408929968535116,School: Virginia  Group: 3  Total.Revenue: 80835566  Total.Expenses: 75437849  Total.Subsidy: 13131129  Revenue.Less.Expenses: 5397717  Rank: 27,1,208
3.4,#00BFC4,0.170710335568853,0.101793188120073,School: West Virginia  Group: 3  Total.Revenue: 80064869  Total.Expenses: 92968960  Total.Subsidy: 4491240  Revenue.Less.Expenses: -12904091  Rank: 28,1,215
